You will have mastered all English tenses by the time this challange comes to an end|Opanujesz wszystkie czasy angielskie zanim to wyzwanie dobiegnie konca|future|perfect
She will not have finished her raport by the time her colleague comes back from holidays|Ona nie skonczy raportu przed tym jak jej kolega nie wroci z wakacji|future|perfect
She remembers them clearly|Ona dobrze ich pamieta|present|simple
Once While he was trying to make a decision on the exact date of his journey He came across an intriguing add|Kiedys gdy probowal podjac decyzje dokladnej daty jego podrozy natknal sie na intrygujace ogloszenie|past|continous
I was going to ask you If you have seen my guitar|Zamierzalem spytac cie czy nie widziales mojej gitary|present|perfect
I have written a book|Napisalem ksiazke (osiagniecia)|present|perfect
At 6pm I will be washing my baby so please dont call me at this time|O 18 bede myc moje dziecko wiec prosze nie dzwon o tej porze|future|continous
Where do you live?|Gdzie mieszkasz?|present|simple
Im gonna work on it harder|Zamierzam pracowac nad tym ciezej|present|continous
I will have read this book by tomorrow|Do jutra przeczytam te ksiazke|future|perfect
They're always talking so loud!|Oni zawsze tak glosno rozmawiaja!|present|continous
I have already finished my homework|Ja juz skonczylem moja prace domowa|present|perfect
I watched a film yesterday|Wczoraj obejrzalem film|past|simple
Do they cook for their children?|Czy oni gotuja dla swoich dzieci?|present|simple
I will buy a new computer|Kupie nowy samochod xxx spontaniczne|future|simple
Yesterday at 9am I was drinking my coffee|Wczoraj o 9 rano pilem kawe|past|continous
When I went to high school I used to play games|Gdy chodzilem do liceum gralem w gry|past|simple
I met my friend the other day a few days ago|Spotkalem przyjaciol kilka dni temu|past|simple
What did you use to do what you don't do any more?|Co robiles kiedys czego juz dzis nie robisz?|past|simple
For the last months I have been looking for a better place to work|Przez ostatnie miesiace szukam lepszego miejsca do pracy|present|perfect_continous
Mark was taking a bath when Mary was laiyng in bed and waiting for him|Mark bral prysznic gdy Mary lezala w lozku i czekala na niego|past|continous
He is going to ask his best friend if he wants to join him|On zamierza spytac najlepszego przycjaciela czy chce doloczyc do niego|present|continous
Why have you been crying?|Dlaczego plakales? juz nie placze ale ma zaszklone oczy|present|perfect_continous
Did you just ask me to the dinner?|Czy ty wlasnie zaprosiles mnie na kolacje?|past|simple
He passes the ball to Messi and he scores the goal!|On podaje do Messi a on zdobywa bramke!|present|simple
Are you reading a book now?|Czy teraz czytasz ksiazke?|present|continous
